Francais;Anglais
Bonjour;Hello
Merci;Thankyou
Amour;Love
Chat;Cat
Chien;Dog
Maison;House
Voiture;Car
Ecole;School
Livre;Book
Pomme;Apple
Eau;Water
Soleil;Sun
Lune;Moon
Ete;Summer
Hiver;Winter
Printemps;Spring
Automne;Fall
Neige;Snow
Pluie;Rain
Vent;Wind
Temps;Time
Jour;Day
Nuit;Night
Heure;Hour
Minute;Minute
Seconde;Second
Ville;City
Village;Village
Pays;Country
Montagne;Mountain
Mer;Sea
Riviere;River
Lac;Lake
Foret;Forest
Arbre;Tree
Fleur;Flower
Jardin;Garden
Route;Road
Rue;Street
Voie;Lane
Pont;Bridge
Bateau;Boat
Avion;Plane
Train;Train
Bus;Bus
Velo;Bicycle
Moto;Motorcycle
Travail;Work
Employe;Employee
Patron;Boss
Vendeur;Seller
Client;Customer
Bureau;Office
Ordinateur;Computer
Telephone;Phone
Tablette;Tablet
Internet;Internet
Email;Email
Lettre;Letter
Timbre;Stamp
Boite;Box
Cadeau;Gift
Anniversaire;Birthday
Fete;Party
Mariage;Wedding
Naissance;Birth
Mort;Death
Ami;Friend
Enfant;Child
Adulte;Adult
Femme;Woman
Homme;Man
Fille;Girl
Garcon;Boy
Mere;Mother
Pere;Father
Frere;Brother
Soeur;Sister
Oncle;Uncle
Tante;Aunt
Cousin;Cousin
Grand-mere;Grandmother
Grand-pere;Grandfather
Chaud;Hot
Froid;Cold
Doux;Sweet
Amer;Bitter
Sale;Salty
Acide;Sour
Beau;Beautiful
Moche;Ugly
Grand;Big
Petit;Small
Long;Long
Court;Short
Lourd;Heavy
Leger;Light
Rapide;Fast
Lent;Slow
Heureux;Happy
Triste;Sad
Facile;Easy
Difficile;Difficult
Fort;Strong
Faible;Weak
Lumiere;Light
Ombre;Shadow
Clair;Clear
Sombre;Dark
Propre;Clean
Sale;Dirty
Nouveau;New
Vieux;Old
Jeune;Young
Age;Old
Fort;Loud
Silencieux;Quiet
Sec;Dry
Humide;Wet
Correct;Right
Incorrect;Wrong
Verite;Truth
Mensonge;Lie
Riche;Rich
Pauvre;Poor
Large;Wide
Etroit;Narrow
Haut;High
Bas;Low
Dur;Hard
Mou;Soft
Rond;Round
Carre;Square
Bon;Good
Mauvais;Bad
Gauche;Left
Droite;Right
Longueur;Length
Largeur;Width
Hauteur;Height
Profondeur;Depth
Terre;Earth
Ciel;Sky
Feu;Fire
Eau;Water
Air;Air
Roche;Rock
Sable;Sand
Glace;Ice
Tempete;Storm
Nuage;Cloud
Eclair;Flash
Tonnerre;Thunder
Planete;Planet
Etoile;Star
Galaxie;Galaxy
Univers;Universe
Mars;Mars
Venus;Venus
Jupiter;Jupiter
Saturne;Saturn
Uranus;Uranus
Neptune;Neptune
Pluton;Pluto
Astronaute;Astronaut
Satellite;Satellite
Comete;Comet
Meteorite;Meteorite
Telescope;Telescope
Mecanique;Mechanic
Ingenieur;Engineer
Architecte;Architect
Constructeur;Builder
Pilote;Pilot
Conducteur;Driver
Chirurgien;Surgeon
Medecin;Doctor
Infirmiere;Nurse
Dentiste;Dentist
Pharmacien;Pharmacist
Veterinaire;Veterinarian
Enseignant;Teacher
Professeur;Professor
Etudiant;Student
Ecolier;Schoolboy
Policier;Policeman
Pompier;Firefighter
Soldat;Soldier
Marin;Sailor
Aviateur;Aviator
Mecanicien;Mechanic
Electricien;Electrician
Plombier;Plumber
Charpentier;Carpenter
Macon;Mason
Jardinier;Gardener
Cuisinier;Cook
Serveur;Waiter
Serveuse;Waitress
Boucher;Butcher
Boulanger;Baker
Patissier;PastryChef
Artisan;Craftsman
Artiste;Artist
Peintre;Painter
Sculpteur;Sculptor
Musicien;Musician
Chanteur;Singer
Compositeur;Composer
Ecrivain;Writer
Poete;Poet
Journaliste;Journalist
Reporter;Reporter
Photographe;Photographer
Cineaste;Filmmaker
Acteur;Actor
Actrice;Actress
Danseur;Dancer
Choregraphe;Choreographer
Realisateur;Director
Producteur;Producer
Technicien;Technician
Informatique;ComputerĀScience
Programmeur;Programmer
Analyste;Analyst
Specialiste;Specialist
Consultant;Consultant
Entrepreneur;Entrepreneur
Chef;Chief
Directeur;Director
Cadre;Executive
President;President
Ministre;Minister
Depute;Deputy
Senateur;Senator
Gouverneur;Governor
Maire;Mayor
Conseiller;Counselor
Diplomate;Diplomat
Ambassadeur;Ambassador
Consul;Consul
Avocat;Lawyer
Juge;
Maire;Mayor
Conseiller;Counselor
Diplomate;Diplomat
Ambassadeur;Ambassador
Consul;Consul
Avocat;Lawyer
Juge;Judge
